run_id,backbone,method,transfer,target,shots,fold,GAL,SPDP
epmwpjxc,bptransformer,prompt_global,mimic_ecg,vital_ecg,10,3,42.23775100708008,40.43422317504883
epmwpjxc,bptransformer,prompt_global,mimic_ecg,vital_ecg,10,4,34.2255859375,36.37947463989258
i9udg2g1,resnet1d,original,sensors,bcg,10,0,28.54357147216797,26.52892303466797
i9udg2g1,resnet1d,original,sensors,bcg,10,1,30.404029846191406,21.21568298339844
i9udg2g1,resnet1d,original,sensors,bcg,10,2,23.243186950683594,16.465970993041992
i9udg2g1,resnet1d,original,sensors,bcg,10,3,22.6005802154541,14.79456615447998
i9udg2g1,resnet1d,original,sensors,bcg,10,4,27.29353141784668,16.347267150878906
jag2wp21,bptransformer,original,ppgbp,sensors,10,0,34.36607360839844,27.92458152770996
jag2wp21,bptransformer,original,ppgbp,sensors,10,1,36.31938934326172,28.291175842285156
jag2wp21,bptransformer,original,ppgbp,sensors,10,2,31.697555541992188,32.32014465332031
jag2wp21,bptransformer,original,ppgbp,sensors,10,3,31.33443069458008,31.052839279174805
jag2wp21,bptransformer,original,ppgbp,sensors,10,4,30.62901306152344,26.703811645507812
jd8cx928,bptransformer,original,sensors,ppgbp,10,0,35.908973693847656,26.378761291503903
jd8cx928,bptransformer,original,sensors,ppgbp,10,1,26.33061981201172,24.11576271057129
jd8cx928,bptransformer,original,sensors,ppgbp,10,2,35.59040451049805,25.686622619628903
jd8cx928,bptransformer,original,sensors,ppgbp,10,3,30.13723945617676,27.141090393066406
jd8cx928,bptransformer,original,sensors,ppgbp,10,4,32.857608795166016,23.706443786621097
njgw1har,bptransformer,prompt_global,sensors,ppgbp,10,0,35.97224426269531,26.715667724609375
njgw1har,bptransformer,prompt_global,sensors,ppgbp,10,1,25.989303588867188,24.075756072998047
njgw1har,bptransformer,prompt_global,sensors,ppgbp,10,2,36.13153839111328,25.945762634277344
njgw1har,bptransformer,prompt_global,sensors,ppgbp,10,3,29.076526641845703,26.16989517211914
njgw1har,bptransformer,prompt_global,sensors,ppgbp,10,4,33.33195495605469,23.15604782104492
p9tu6656,resnet1d,original,bcg,sensors,10,0,30.41939163208008,31.847694396972656
p9tu6656,resnet1d,original,bcg,sensors,10,1,29.752460479736328,29.231441497802734
p9tu6656,resnet1d,original,bcg,sensors,10,2,31.31836700439453,33.974151611328125
p9tu6656,resnet1d,original,bcg,sensors,10,3,30.8695068359375,32.44963073730469
p9tu6656,resnet1d,original,bcg,sensors,10,4,29.804351806640625,26.693254470825195
qw5z98y4,bptransformer,prompt_global,sensors,bcg,10,0,29.657245635986328,27.71393585205078
qw5z98y4,bptransformer,prompt_global,sensors,bcg,10,1,29.73003196716309,19.746612548828125
qw5z98y4,bptransformer,prompt_global,sensors,bcg,10,2,20.65807723999023,15.522010803222656
qw5z98y4,bptransformer,prompt_global,sensors,bcg,10,3,23.46512031555176,15.511743545532228
qw5z98y4,bptransformer,prompt_global,sensors,bcg,10,4,26.83953857421875,16.567211151123047
rbq1pwel,spectroresnet,original,mimic_ecg,vital_ecg,10,0,42.381805419921875,38.782569885253906
